140 True value: 3.523 ; calculated value: 3.362; error: -4.573% 
141 True value: 4.833 ; calculated value: 4.617; error: -4.478% 
142 True value: 3.694 ; calculated value: 3.543; error: -4.088% 
143 True value: 3.893 ; calculated value: 3.719; error: -4.468% 
144 True value: 2.402 ; calculated value: 2.34; error: -2.598% 
145 True value: 3.351 ; calculated value: 3.196; error: -4.605% 
146 True value: 3.996 ; calculated value: 3.848; error: -3.698% 
147 True value: 3.169 ; calculated value: 3.05; error: -3.759% 
148 True value: 3.874 ; calculated value: 3.737; error: -3.537% 
149 True value: 3.895 ; calculated value: 3.735; error: -4.096% 
150 True value: 3.293 ; calculated value: 3.178; error: -3.491% 
151 True value: 3.35 ; calculated value: 3.221; error: -3.835% 
152 True value: 2.966 ; calculated value: 2.843; error: -4.129% 
153 True value: 3.952 ; calculated value: 3.761; error: -4.827% 
154 True value: 5.33 ; calculated value: 5.055; error: -5.154% 
155 True value: 4.362 ; calculated value: 4.159; error: -4.655% 
156 True value: 4.341 ; calculated value: 4.13; error: -4.846% 
157 True value: 3.326 ; calculated value: 3.188; error: -4.156% 
158 True value: 3.993 ; calculated value: 3.847; error: -3.671% 
159 True value: 4.877 ; calculated value: 4.575; error: -6.197% 
160 True value: 5.426 ; calculated value: 5.148; error: -5.134% 
161 True value: 3.034 ; calculated value: 2.934; error: -3.317% 
162 True value: 3.444 ; calculated value: 3.33; error: -3.325% 
163 True value: 5.265 ; calculated value: 4.947; error: -6.038% 
164 True value: 2.792 ; calculated value: 2.719; error: -2.627% 
165 True value: 3.843 ; calculated value: 3.726; error: -3.053% 
166 True value: 2.616 ; calculated value: 2.541; error: -2.839% 
167 True value: 3.354 ; calculated value: 3.231; error: -3.683% 
168 True value: 2.946 ; calculated value: 2.848; error: -3.325% 
169 True value: 4.094 ; calculated value: 3.933; error: -3.94% 
170 True value: 5.759 ; calculated value: 5.398; error: -6.278% 
171 True value: 4.485 ; calculated value: 4.33; error: -3.464% 
172 True value: 3.508 ; calculated value: 3.368; error: -4.012% 
173 True value: 4.009 ; calculated value: 3.876; error: -3.322% 
174 True value: 3.568 ; calculated value: 3.443; error: -3.491% 
175 True value: 3.545 ; calculated value: 3.391; error: -4.338% 
176 True value: 5.976 ; calculated value: 5.702; error: -4.583% 
177 True value: 2.847 ; calculated value: 2.737; error: -3.896% 
